x,y,c
15,39,4
15,81,1
16,6,4
16,77,1
17,40,4
17,76,1
18,6,4
18,94,1
19,3,4
19,72,1
19,14,4
19,99,1
20,15,4
20,77,1
20,13,4
20,79,1
21,35,4
21,66,1
23,29,4
23,98,1
24,35,4
24,73,1
25,5,4
25,73,1
28,14,4
28,82,1
28,32,4
28,61,3
29,31,4
29,87,1
30,4,4
30,73,1
33,4,4
33,92,1
33,14,4
33,81,1
34,17,4
34,73,3
37,26,4
37,75,3
38,35,4
38,92,1
39,36,4
39,61,3
39,28,4
39,65,3
40,55,4
40,47,4
40,42,4
40,42,4
42,52,4
42,60,3
43,54,4
43,60,3
43,45,4
43,41,4
44,50,4
44,46,4
46,51,4
46,46,4
46,56,4
46,55,4
47,52,4
47,59,4
48,51,4
48,59,4
48,50,4
48,48,4
48,59,4
48,47,4
49,55,4
49,42,2
50,49,2
50,56,4
54,47,2
54,54,2
54,53,2
54,48,2
54,52,2
54,42,2
54,51,2
54,55,2
54,41,2
54,44,2
54,57,4
54,46,2
57,58,2
57,55,2
58,60,2
58,46,2
59,55,2
59,41,2
60,49,2
60,40,2
60,42,2
60,52,2
60,47,2
60,50,2
61,42,2
61,49,2
62,41,2
62,48,2
62,59,2
62,55,2
62,56,2
62,42,2
63,50,2
63,46,2
63,43,2
63,48,2
63,52,2
63,54,2
64,42,2
64,46,2
65,48,2
65,50,2
65,43,2
65,59,2
67,43,0
67,57,2
67,56,2
67,40,0
69,58,2
69,91,5
70,29,0
70,77,5
71,35,0
71,95,5
71,11,0
71,75,5
71,9,0
71,75,5
72,34,0
72,71,5
73,5,0
73,88,5
73,7,0
73,73,5
74,10,0
74,72,5
75,5,0
75,93,5
76,40,0
76,87,5
77,12,0
77,97,5
77,36,0
77,74,5
78,22,0
78,90,5
78,17,0
78,88,5
78,20,0
78,76,5
78,16,0
78,89,5
78,1,0
78,78,5
78,1,0
78,73,5
79,35,0
79,83,5
81,5,0
81,93,5
85,26,0
85,75,5
86,20,0
86,95,5
87,27,0
87,63,5
87,13,0
87,75,5
87,10,0
87,92,5
88,13,0
88,86,5
88,15,0
88,69,5
93,14,0
93,90,5
97,32,0
97,86,5
98,15,0
98,88,5
99,39,0
99,97,5
101,24,0
101,68,5
103,17,0
103,85,5
103,23,0
103,69,5
113,8,0
113,91,5
120,16,0
120,79,5
126,28,0
126,74,5
137,18,0
137,83,5
