x,y,c
15,39,0
15,81,0
16,6,0
16,77,0
17,40,0
17,76,0
18,6,0
18,94,0
19,3,0
19,72,0
19,14,0
19,99,0
20,15,0
20,77,0
20,13,0
20,79,0
21,35,0
21,66,0
23,29,0
23,98,0
24,35,0
24,73,0
25,5,0
25,73,0
28,14,0
28,82,0
28,32,0
28,61,0
29,31,0
29,87,0
30,4,0
30,73,0
33,4,0
33,92,0
33,14,0
33,81,0
34,17,0
34,73,0
37,26,0
37,75,0
38,35,0
38,92,0
39,36,0
39,61,0
39,28,0
39,65,0
40,55,0
40,47,0
40,42,0
40,42,0
42,52,0
42,60,0
43,54,0
43,60,0
43,45,0
43,41,0
44,50,0
44,46,0
46,51,0
46,46,0
46,56,0
46,55,0
47,52,0
47,59,0
48,51,0
48,59,0
48,50,0
48,48,0
48,59,0
48,47,0
49,55,0
49,42,0
50,49,0
50,56,0
54,47,0
54,54,0
54,53,0
54,48,0
54,52,0
54,42,0
54,51,0
54,55,0
54,41,0
54,44,0
54,57,0
54,46,0
57,58,2
57,55,2
58,60,2
58,46,2
59,55,2
59,41,2
60,49,2
60,40,2
60,42,2
60,52,2
60,47,2
60,50,2
61,42,2
61,49,2
62,41,2
62,48,2
62,59,2
62,55,2
62,56,2
62,42,2
63,50,2
63,46,2
63,43,2
63,48,2
63,52,2
63,54,2
64,42,2
64,46,2
65,48,2
65,50,2
65,43,2
65,59,2
67,43,2
67,57,2
67,56,2
67,40,1
69,58,2
69,91,2
70,29,1
70,77,2
71,35,1
71,95,2
71,11,1
71,75,2
71,9,1
71,75,2
72,34,1
72,71,2
73,5,1
73,88,2
73,7,1
73,73,2
74,10,1
74,72,2
75,5,1
75,93,2
76,40,1
76,87,2
77,12,1
77,97,2
77,36,1
77,74,2
78,22,1
78,90,2
78,17,1
78,88,2
78,20,1
78,76,2
78,16,1
78,89,2
78,1,1
78,78,2
78,1,1
78,73,2
79,35,1
79,83,2
81,5,1
81,93,2
85,26,1
85,75,2
86,20,1
86,95,2
87,27,1
87,63,2
87,13,1
87,75,2
87,10,1
87,92,2
88,13,1
88,86,2
88,15,1
88,69,2
93,14,1
93,90,2
97,32,1
97,86,2
98,15,1
98,88,2
99,39,1
99,97,2
101,24,1
101,68,2
103,17,1
103,85,2
103,23,1
103,69,2
113,8,1
113,91,2
120,16,1
120,79,2
126,28,1
126,74,2
137,18,1
137,83,2
